nome_ti,area_ti_ha,veg_secundaria_ha,potencial_rn_ha,total_restauravel_ha
Uru-Eu-Wau-Wau,1893134.45,1691.01,27864.59,29555.6
Massaco,424569.83,62.48,14421.87,14484.35
Parque do Aripuanã,1610518.5,916.68,11761.11,12677.79
Pacaas Novas,286416.79,266.08,10070.99,10337.07
Igarapé Lourdes,198248.49,1411.75,4797.27,6209.02
Tubarão Latunde,116769.06,1468.87,4412.83,5881.7
Roosevelt,230934.91,864.31,4822.4,5686.71
Sete de Setembro,250908.06,398.15,4771.7,5169.85
Karipuna,155803.35,283.04,4518.9,4801.94
Rio Guaporé,117925.18,136.99,3991.84,4128.83
Rio Omerê,26358.49,2033.35,1845.66,3879.01
Igarapé Lage,109327.47,1033.64,2501.89,3535.53
Rio Branco,238848.98,440.68,2323.07,2763.75
Kaxarari,149507.84,204.21,2375.09,2579.3
Sagarana,18578.15,56.24,2489.94,2546.18
Karitiana,91072.57,875.12,1068.78,1943.9
Rio Negro Ocaia,239024.2,82.34,1831.69,1914.03
Rio Negro Ocaia,106777.75,82.34,1831.69,1914.03
Rio Negro Ocaia,106777.75,3.78,1831.69,1835.47
Rio Negro Ocaia,239024.2,3.78,1831.69,1835.47
Rio Mequens,108496.86,553.86,1236.62,1790.48
Igarapé Ribeirão,48875.71,319.15,1047.61,1366.76
Kwazá do Rio São Pedro,16944.12,307.2,903.15,1210.35
Rio Negro Ocaia,106777.75,82.34,859.83,942.17
Rio Negro Ocaia,239024.2,82.34,859.83,942.17
Rio Negro Ocaia,239024.2,3.78,859.83,863.61
Rio Negro Ocaia,106777.75,3.78,859.83,863.61
Uty-Xunati,900.63,62.13,350.78,412.91
Tanaru ( restrição de uso ),8080.95,82.51,258.26,340.77
